"122","24126","KAVITHA STATIONERY","33CBMPM8253L1Z4",,"46/86 VENKATRAMAN STREET,SHEVA",,"SALEM",NULL,,,NULL,NULL,NULL,NULL
"123","24127","RAJA STATIONERY","33526402240",,"OPP; BUSSTAND",,"TIRUVANNAMALAI",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"124","24128","PAWAN STATIONERY","33ACJPR7702H1ZJ",,"32,KONGALAMMAN KOVIL STREET",,"ERODE",NULL,,,NULL,NULL,NULL,NULL
"125","24129","VIJAYA PAPER MART",,,"120 SCHOOL STREET",,"ARANI",NULL,,,NULL,NULL,NULL,NULL
"126","24130","OM SAKTHI PAPER& STATIONE","33AAEPM0656Q1ZF",,"64 CONGRESS HOUSE ROAD",,"GUDIYATHAM",NULL,,,NULL,NULL,NULL,NULL
"127","24131","KAVIN STATIONERY MAART","33ADPPV3552J1Z2",,"11 longly road
","Shevapet","SALEM",NULL,,,NULL,"0",NULL,NULL
"128","24132","K.K.STATIONERY","33AFKPD9447FIZG",,"48/89 B VENKATRAMAN STREET SHE",,"SALEM",NULL,,,NULL,NULL,NULL,NULL
"129","24133","VISHNU STATIONARIES","33AEVPP4971Q1ZD",,"886G SR COMPLEX, R.G STREET",,"COIMBATORE",NULL,,,NULL,"0",NULL,NULL
"130","24134","K.V. NARAYANA IYER SONS","33AABFK6879N1ZQ",,"249 BIG BAZAAR STREET",,"DINDIGUL",NULL,,,NULL,NULL,NULL,NULL
"131","24135","POORNIMA PAPER *& STATION","33AADHR6234E1ZF",,"30 TALUK OFFICE ROAD",,"HOSUR (DHARMAPURI DIST )",NULL,,,NULL,NULL,NULL,NULL
"132","24136","J.K.PAPER MART","33BGQPD8297K1ZQ",,"79,SWAMY SANNATHI STREET","None","TIRUNELVELI TOWN","0",,,NULL,NULL,NULL,NULL
"133","24137","THE CHANDRA PAPER MART","33AHGPP3367A1ZN",,"56 MAIN ROAD","None","DINDIGUL","0",,,NULL,NULL,NULL,NULL
"134",,"THE CHANDRA PAPER MART",,,,"None",,"0",,,NULL,NULL,NULL,NULL
"135","24138","SRI VINAYAGA STORES","33DRLPS2739P2ZX",,"18, NADU KALLUKKARA STREET","None","TRICHY","0",,,NULL,NULL,NULL,NULL
"136","24139","BHARATHI TRADERS","33BYEPB9364B1ZS",,"22014 A, NEHRU COLONY","None","SIVAKASI","0",,,NULL,NULL,NULL,NULL
"137","24140","SREE BALAJEE ENTERPRISES","33AHCPR9327A1ZL",,"39A1 WEST NAPPALAYA STREET","None","MADURAI","625001",,,NULL,NULL,NULL,NULL
"138","24141","DEVIKALA STATIONERY","33AAHFD9750H1ZC",,"50 A6 NARAYANA PILLSI STREET","None","MAYAVARAM","0",,,NULL,NULL,NULL,NULL
"139","24142","KAVERI STATIONERY","33AWBPM9582G1ZB",,"279,BANGALORE ROAD","None","KRISHNAGIRI","0",,,NULL,NULL,NULL,NULL
"140","24143","Ronack Agencies","33AAZPL8528R1ZI",,"618,Oppenkara Street","None","Coimbatore","0",,,NULL,NULL,NULL,NULL
"141","24144","FUMAM STORE","33AAAFF1319H1ZO",,"57,MOTHILAL STREET","None","KUMBAKONAM","0",,,NULL,NULL,NULL,NULL
"142","24145","Sri books and agencies","33DFTPK0122J1ZI",,"Siva complex, 1/8, uthukkadu road,bhadrakaliamman kovil street,","None","POLLACHI","642001","9940881664",,NULL,NULL,NULL,NULL
"143","24146","SHREE BALAJI GERNERAL STO","33AYMPS4651B1ZG",,"192 BAZAAR STREET","None","POLLACHI","0",,,NULL,NULL,NULL,NULL
"144","24147","KUMARAN STATIONERIES MART","33AASFK4951E1Z7",,"183, BALAMORE ROAD","None","NAGERCOIL","629001",,,NULL,NULL,NULL,NULL
"145","24148","SENTHIL AGENCIES","33AEFPP9073H1Z9",,"36,SIVASAKTHI BUILDING,INSIDE GRK COMPLEX",,"CUDDALORE","0",,,NULL,"0",NULL,NULL
"146","24149","PANDIYAN NOTE BOOKS AND P","33AAPFP0790D1ZA",,"146, Periyar street,","None","Erode","638001",,,NULL,NULL,NULL,NULL
"147","24150","GANAPATHY PAPER MART","33ABRPL9841N1ZU",,"79 EAST CAR STREET","None","TIRUNELVELI TOWN","0",,,NULL,NULL,NULL,NULL
"148","24151","MOORTHYPANDI TRADERS","33BCCPP4428C1Z0",,"22015 NEHRU COLONY","None","SIVAKSI","626123",,,NULL,NULL,NULL,NULL
"149","24152","PRICE LESS STATIONERY SHO","32AIAPJ3208P1ZF",,"VYAPARABHAVAN BUILDING , VADAYATTUKOTTA ROAD","None","KOLLAM","691001",,,NULL,NULL,NULL,NULL
"150","24153","CHENNAI PAPER MART","34AAEFC1819MIZH",,"220 BHARATHIYAR VEETHI,OPP;OLD BUSSTAND","None","KARAIKAL","0",,,NULL,NULL,NULL,NULL
"151","24154","A.S.G.NAGA MANIKA CHETIYA","33AFMPB5524M1ZF",,"190, BAZZAR STREET,","None","POLLACHI","0",,,NULL,NULL,NULL,NULL
"152","24155","MUTHU PAPER & STATIONERIE","33AHMPM3880H1Z4",,"1833 EAST CAR STREET","None","DINDIGUL","624001",,,NULL,NULL,NULL,NULL
"153","24156","Student book center","33AHCPL1542P1ZB",,"SOUTH BAZZAR","None","KOVILPATTI","0",,,NULL,"0",NULL,NULL
"154","24157","NELLAI PAPER MART","33BUAPB5834N1Z0",,"5/1 NADUVAR EAST STREET","None","NAGAPATTINAM","0",,,NULL,NULL,NULL,NULL
"155","24158","PATEL MARKETING","33AOXPT5610E1ZP",,"SALEM MAIN ROAD","None","KRISHNAGIRI","0",,,NULL,NULL,NULL,NULL
"156","24159","SRI SELVAM PUTHAGA NILAYA","33BMRPS6067B1ZS",,"CHUNNAMBUKARA STREET","None","VELLORE-4","0",,,NULL,NULL,NULL,NULL
